RETURN_TIME RETURN_MASS
1.576046000000000114e-01 1.089464999999999906e+00
3.171803999999999735e-01 1.102735000000000021e+00
2.862514000000000031e-02 1.050392999999999910e+00
1.566626999999999881e-01 1.060483999999999982e+00
6.424352999999999314e-02 1.074603999999999893e+00
3.360100999999999782e-01 1.085461999999999927e+00
1.980878000000000083e-01 1.092031999999999892e+00
7.438933000000000351e-02 1.076624000000000025e+00
4.978699999999999792e-02 1.040421000000000040e+00
1.079782000000000020e+00 1.077685999999999922e+00
3.939828000000000080e-02 1.068111999999999950e+00
1.881752000000000091e+00 1.087536000000000058e+00
3.426154000000000005e-02 1.049897999999999998e+00
5.200607000000000424e-01 1.099471000000000087e+00
3.161306999999999867e-01 1.104211999999999971e+00
5.359553000000000234e-02 1.089472999999999914e+00
8.097179000000000182e-02 1.045155000000000056e+00
2.569268999999999803e+00 1.113226999999999967e+00
3.982087000000000265e-01 1.110832999999999959e+00
2.076948999999999879e-01 1.096651000000000042e+00
2.434784999999999866e-01 1.103636999999999979e+00
1.686112000000000055e+00 1.113420999999999994e+00
1.716276999999999942e-01 1.098904000000000103e+00
6.082708000000000004e-01 1.118632000000000071e+00
1.311203999999999981e-01 1.096648999999999985e+00
3.991096000000000088e-01 1.079816000000000109e+00
1.048643999999999965e-01 1.090349999999999930e+00
2.941642999999999897e-01 1.070254999999999956e+00
2.137217999999999896e-01 1.091784000000000088e+00
4.479603999999999808e-01 1.101941000000000059e+00
4.162692000000000059e-01 1.113212000000000090e+00
1.468681000000000014e-01 1.078705999999999943e+00
2.278420999999999919e-01 1.092816000000000010e+00
7.090243999999999991e-01 1.102049000000000056e+00
1.056810999999999945e+00 1.082974000000000103e+00
2.174643999999999883e-02 1.066070999999999991e+00
7.988747000000000209e-02 1.073908000000000085e+00
3.530988000000000182e-02 1.057112000000000052e+00
9.319674000000000014e-02 1.087949000000000055e+00
3.895773999999999765e-02 1.080778999999999934e+00
4.981010999999999772e-02 1.088710000000000067e+00
1.772813000000000028e-01 1.089104000000000072e+00
4.331017999999999812e-01 1.077266999999999975e+00
2.118661999999999976e-02 1.060910000000000020e+00
8.258463999999999805e-01 1.091607999999999912e+00
2.772586000000000148e-02 1.081404000000000032e+00
5.823736999999999664e-02 1.073037000000000019e+00
1.727821999999999969e+00 1.108449999999999935e+00
7.632276999999999534e-01 1.101027999999999896e+00
2.283198999999999923e-01 1.056897999999999893e+00
6.345581999999999612e-02 1.068500000000000005e+00
3.456105000000000288e-02 1.073461999999999916e+00
1.722251999999999894e+00 1.118907000000000096e+00
1.669034000000000142e-02 1.054200999999999944e+00
1.144667000000000046e-01 1.080888000000000071e+00
2.149128999999999970e-02 1.070337000000000094e+00
1.478586999999999957e-02 1.052287999999999890e+00
5.026114999999999750e-02 1.078236999999999890e+00
7.037889999999999979e-01 1.098811999999999900e+00
2.007627999999999843e-02 1.060834000000000055e+00
2.491118999999999861e+00 1.090016000000000096e+00
1.144927000000000028e-01 1.082179000000000002e+00
1.030921000000000060e-01 1.094937000000000049e+00
1.098504000000000008e-01 1.077881000000000089e+00
3.159931000000000267e-01 1.100257000000000041e+00
3.248017000000000265e-01 1.100648999999999988e+00
6.920441000000000509e-01 1.081542000000000003e+00
1.461355999999999940e-02 1.051695999999999964e+00
4.568028000000000088e-01 1.074289000000000049e+00
1.024221000000000048e+00 1.106438000000000033e+00
2.826590000000000005e-02 1.079147999999999996e+00
1.607261000000000106e-01 1.049088000000000021e+00
3.189586999999999839e-01 1.107933000000000057e+00
1.841201000000000088e-01 1.108737000000000084e+00
1.602895000000000014e-02 1.061384000000000105e+00
6.855849999999999445e-02 1.090827999999999909e+00
4.882150999999999852e-02 1.090159000000000100e+00
4.142490999999999812e-01 1.102003000000000066e+00
3.578103000000000256e-01 1.081766999999999923e+00
2.491957999999999951e-01 1.096686000000000050e+00
8.412488999999999661e-01 1.107345000000000024e+00
5.444072999999999968e-02 1.083471999999999991e+00
6.190857000000000304e-02 1.079973999999999990e+00
1.777493999999999907e+00 1.112943999999999933e+00
5.894739000000000229e-02 1.079723999999999906e+00
1.587594999999999978e-01 1.093185999999999991e+00
2.157551000000000219e+00 1.112619999999999942e+00
1.578483999999999998e-01 1.066321999999999992e+00
7.373657999999999602e-02 1.102597000000000049e+00
1.296291999999999930e-02 1.067671000000000037e+00
2.427135999999999960e+00 1.101054999999999895e+00
3.630742000000000136e-01 1.105487000000000108e+00
1.066422999999999954e-01 1.096661000000000108e+00
3.502314999999999734e-01 1.095773000000000108e+00
1.459546999999999928e-02 1.065592000000000095e+00
1.981009000000000020e+00 1.115339999999999998e+00
4.201428999999999858e-01 1.108862000000000014e+00
7.932817000000000340e-02 1.057374999999999954e+00
7.665405999999999609e-02 1.076352999999999893e+00
3.183966999999999770e-01 1.076985999999999999e+00
1.737642999999999827e-02 1.060392000000000001e+00
1.055356999999999962e-01 1.070872000000000046e+00
3.867521000000000153e-02 1.065582000000000029e+00
8.276836999999999389e-02 1.097070999999999907e+00
4.842682999999999710e-02 1.040478999999999932e+00
1.786077000000000151e-02 1.040410000000000057e+00
1.599909999999999874e-02 1.068794999999999940e+00
7.805998999999999577e-02 1.049876999999999949e+00
1.394062000000000079e-01 1.093264000000000014e+00
4.789399999999999907e-02 1.092864999999999975e+00
5.991052000000000183e-02 1.077223000000000042e+00
3.537923000000000040e-01 1.069463000000000052e+00
